;CODIGO;D E T A L L E ;Recuento;;;;;;
882;53140-95J07-L;Bisel HIACE  Mod,85~88 Foco CUADRADO 212-1221;0;;;;;BOCINA SCOOTER;0
1050;74081-EX0100-L;Bisel NISSAN AD ;0;;;;;BONBA DE AGUA STARLET EP71;1
753;7409-L;Bisel NISSAN AD ;0;;;;;Brazo de cremallera HIDRAULICO IPSUM (Hilo fino x 1.5 ext.)16X14X1,5;0
562;63330-K74151-R;Bisel NISSAN URVAN;0;;;;;Brazo de cremallera HIDRAULICO YOITOKI            UNIVERSAL  14X16 ;6
;VI-S-DOM-89-F-L;BISEL SUBARU DOMINGO RASPADILLO ( FIBRA ) ;2;;;;;Brazo de cremallera TOYOTA LARGO  YOITOKI   Mecanico        14X14;2
;VI-S-DOM-89-F-R;BISEL SUBARU DOMINGO RASPADILLO (FIBRA ) ;2;;;;;Brazo de cremallera TOYOTA/NISSAN LARGO YOITOKI Mecanico 14X15;0
;VI-S-DOM-89J-F-L;BISEL SUBARU DOMINGO RASPADILLO JAPONÉS  ;0;;;;;Buchera de fibra Hilux Surf ;0
;VI-S-DOM-89J-F-R;BISEL SUBARU DOMINGO RASPADILLO JAPONÉS  ;0;;;;;Buchera HILUX SURF 96 FIBRA;2
754;7409-R;Bisel SUNNY 310;0;;;;;Buje de tijeral caldina;1
479;12-324-L;Bisel Y Media luz 212-1203 F-KE 1972;0;;;;;Caliper STI MORDAZA;0
958;B38-L;BOCINA SCOOTER;0;;;;;CANDADO DE MOTO / SCOOTER ELÉCTRICO ;0
;371073;BONBA DE AGUA STARLET EP71;1;;;;;cantonera  rav4;1
;860058;Brazo de cremallera HIDRAULICO IPSUM (Hilo fino x 1.5 ext.)16X14X1,5;0;;;;;Cantonera JEEP CHEROKEE COMANCHE 84~85~86~87~96~;2
1148;860057;Brazo de cremallera HIDRAULICO YOITOKI            UNIVERSAL  14X16 ;6;;;;;Cantonera METALICA DE SUBARU DOMINGO ;0
;860051;Brazo de cremallera TOYOTA LARGO  YOITOKI   Mecanico        14X14;2;;;;;CAPOT IPSUM ;0
1150;860144;Brazo de cremallera TOYOTA/NISSAN LARGO YOITOKI Mecanico 14X15;0;;;;;Capota FORESTER 97;0
1102;C-3024001;Buchera de fibra Hilux Surf ;0;;;;;Capota HONDA CIVIC EG;0
1100;C-3024004;Buchera HILUX SURF 96 FIBRA;2;;;;;Capota MITSUBISHI EVOLUTION 4;0
840;4886-L;Buje de tijeral caldina;1;;;;;Capota SUZUKI CULTUS;0
1093;CH-216010;Caliper STI MORDAZA;0;;;;;Capota SUZUKI VITARA 97 ESCUDO ;0
;FS8305;CANDADO DE MOTO / SCOOTER ELÉCTRICO ;0;;;;;Capota TOYOTA HILUX SURF ;0
;PT-RAV-99-R;cantonera  rav4;1;;;;;Capuchón CON TOPE DE Amortiguador;0
453;3336-L;Cantonera JEEP CHEROKEE COMANCHE 84~85~86~87~96~;1;;;;;Capuchón de cremallera HIDRAULICO CORTO MAMUT;0
453;3336-R;Cantonera JEEP CHEROKEE COMANCHE 84~85~86~87~96~;1;;;;;Capuchón de JUNTA CE90/AE90 MAMUT;0
174;GF-DOMINGO-L;Cantonera METALICA DE SUBARU DOMINGO ;0;;;;;Capuchón de JUNTA CE90/AE90 MAMUT ;0
175;GF-DOMINGO-R;Cantonera METALICA DE SUBARU DOMINGO ;0;;;;;Capuchón de TRICETA Toyota AE90~CE90 MAMUT;1
;220636;CAPOT IPSUM ;0;;;;;Chisguete DE PARCHOQUE MONTERO ;0
178;C-SURF-96;Capota FORESTER 97;0;;;;;Cola DE PATO IMPREZA2004 FIBRA AZUL;1
171;C-EVO4;Capota HONDA CIVIC EG;0;;;;;COLA DE PATO MITSUBISHI GRANDIS ;0
;C-SUB-M;Capota MITSUBISHI EVOLUTION 4;0;;;;;Cola DE PATO RAV 4 98 FIBRA;1
170;C-FORESTER-97;Capota SUZUKI CULTUS;0;;;;;Cola DE PATO RAV 4 98 ORIGINAL ;0
1084;CAT-300;Capota SUZUKI VITARA 97 ESCUDO ;0;;;;;COLA DE PATO SUBARU DOMINGO ;0
