;CODIGO;D E T A L L E ;Recuento;;;;;;
;317-1513-R;Guiñador lateral RAV 4 Mod. 97 ~ 2000 212-1409;0;;;;;Media luz TOWN ACE 78;1
;218-1151-R;Guiñador LATERAL SUBARU IMPREZA;0;;;;;Media luz TOWN ACE 78 ;1
;218-1164-EM1-L;Guiñador LATERAL SUBARU IMPREZA;0;;;;;Media luz Toyota 4RUNNER Mod. 96;0
;218-1906-R;Guiñador lateral Suzuqui SAMURAI UNIVERSAL   ;1;;;;;MEDIA LUZ TOYOTA CALDINA;1
;218-1911-PX-L;Guiñador lateral Suzuqui SAMURAI UNIVERSAL   ;1;;;;;Media luz Toyota COROLLA CARIB Mod.98~ Redondo  ROSSO;7
;218-1503-R;Guiñador lateral Suzuqui SWIFT ~ Universal;0;;;;;Media luz Toyota HIACE Mod.84~89;0
89;218-1602-L;Guiñador lateral Suzuqui SWIFT ~ Universal;0;;;;;Media luz Toyota HIACE Mod.90~02;4
1181;121118;Guiñador lateral Suzuqui UNIVERSAL   SJ 410 JEEP;2;;;;;Media luz TOYOTA LITE ACE 212-1516 MOD 82;1
590;50221;Guiñador lateral Suzuqui VITARA~ESCUDO ;1;;;;;Media luz Toyota NOAH Mod.96~97~98 212-15H2-K;1
;74170;Guiñador lateral Suzuqui VITARA~ESCUDO ;1;;;;;Media luz Toyota PRADO CRISTAL FJ90/LJ95 Mod.2000~2001~2002;1
90;218-1602-R;Guiñador lateral Suzuqui VITARA~ESCUDO ;1;;;;;Media Luz URVAN CARABAN CUSTOM EUROPEO. 87~88~94~95~2001;2
;218-1610-L;Guiñador lateral Suzuqui VITARA~ESCUDO ;1;;;;;Media luz X-TRAIL Mod. 2001 ~ 2005 ;1
784;12-173-R;Guiñador LATERLA LANCER 92;0;;;;;MIEDIA LUZ HONDA CIVIC 88;1
477;12-197-L;Guiñador LATERLA LANCER 92;0;;;;;"Mu;on  ";2
372;1210-R;Guiñador LEVIN 96;0;;;;;"MU;ON SUPENCION BUFALO";12
262;122472-U;Guiñador LEVIN 96;0;;;;;"MU;ON SUPENCION HILUX 92";1
;212-1112-TYC-R;Guiñador MONTERO;1;;;;;"Mu;on suspencion inferior KING LONG 2018";8
;212-1126-L;Guiñador MONTERO;1;;;;;Muñón de dirección / Terminal YOITOKI. SE-2651;54
430;3339-L;Guiñador NISSAN ATLAS  215-1571;0;;;;;Muñon DE DIRECCION VARIOS;0
431;3339-R;Guiñador NISSAN ATLAS  215-1571;0;;;;;MUÑON DE ESTAB.  NISSAN B12/B13;1
122;323-1105-R;Guiñador NISSAN CUSTOM 315-1616;1;;;;;Muñon de Estabilizador RUNNER YOITOKI Universal;1
123;323-1501-L;Guiñador NISSAN CUSTOM 315-1616;1;;;;;Muñon DE SUSPENCION  VARIOS;0
;215-1977;Guiñador Nissan parachoques mini datsun ;1;;;;;Muñon de suspensión NOAH ~ LITEACE Superior YOITOKI Sin grasera blindado;15
;215-1991-C-L;Guiñador Nissan parachoques mini datsun ;1;;;;;Muñon de suspension VANETTE BONGO Superior 00-06;11
;215-1614-R;Guiñador Nissan patrol 87;1;;;;;Muñon DIRECCION 124848;2
;215-1910-2-L;Guiñador Nissan patrol 87;1;;;;;Muñon DIRECCION CALDINA R;0
394;52-016-L;Guiñador NISSAN SUNNY B12 NARANJA;1;;;;;Muñon DIRECCION COROLLA 78;0
395;52-016-R;Guiñador NISSAN SUNNY B12 NARANJA;1;;;;;Muñon DIRECCION HIACE CHINO ROSCA 15;40
1060;3320-L;Guiñador NISSAN SUNNY B13 215-1542;0;;;;;Muñon DIRECCION HIACE CUADRADO /HILUX 89;0
1061;3320-R;Guiñador NISSAN SUNNY B13 215-1542;0;;;;;Muñon DIRECCION HIACE ROSCA 15;2
127;334-1906-L;Guiñador NISSAN SUNNY B13 215-1562;1;;;;;Muñon DIRECCION LOBO ROSCA 17;0
128;334-1906-R;Guiñador NISSAN SUNNY B13 215-1562;1;;;;;Muñon DIRECCION LUCIDA;1
948;215-1552-R;Guiñador pick up;1;;;;;Muñon DIRECCION NISSAN LUCIDA;1
;215-1562-L;Guiñador PICK UP;1;;;;;Muñon DIRECCION PROBOX;2
;212-1112-R;Guiñador PRIMERA;0;;;;;Muñon DIRECCION SUZUKI SX4 SWIFT;0
703;1059-L;Guiñador REFLEX EP 91 212-15A1-C;0;;;;;MUÑON ESTABILIZADOR DEL TOY RAV4 96/98;2
704;1059-R;Guiñador REFLEX EP 91 212-15A1-C;0;;;;;Muñon Estabilizador largo NOAH SUZUKI;0
;212-1918-R;Guiñador Regla  HIACE Mod.90~ Transforner;1;;;;;MUÑÓN ESTABILIZADOR LARGO UNIVERSAL ;47
;212-1922-L;Guiñador Regla  HIACE Mod.90~ Transforner;;;;;;Muñon Estabilizador PROBOX;1
1142;A-2159;Guiñador SERENA;1;;;;;Muñon KEYTON ;0
;217-1531-R;Guiñador SUBARU DOMINGO ;1;;;;;Muñon KING LONG ;0
;321-2018-L;Guiñador subaru forester ;2;;;;;Muñon Muñon RUNNER;0
;220-1605-R;Guiñador Subaru FORESTER Mod. 98~2005 USA LED Negro. PAR;1;;;;;Muñon SIRECCION KING LONG ROSCA 14;26
99;220-1608 pxa-L;Guiñador Subaru FORESTER Mod. 98~2005 USA LED Negro. PAR;1;;;;;Muñon SUSPENCIO HIACE INFERIOR;23
;12808;Guiñador Subaru IMPREZA Mod.97~98~99~2000 PAR;1;;;;;MUÑÓN SUSPENCION HIACE SUP SON PERNOS;9
;321-2018-R;Guiñador SUNNY B11 BLANCO ;;;;;;MUÑÓN SUSPENCION HILUX 92;2
441;3226-L;Guiñador SUNNY B11 BLANCO ;1;;;;;MUÑÓN SUSPENCION HYUNDAI H1 FURGON CAPTIVA CHEVROLET BONGO CAMIONETA;2
531;3568-C-L;Guiñador SURF AMARILLO 212-1573;1;;;;;MUÑÓN SUSPENCION INF MONTERO SPORT DELICA ;0
;35810-7;Guiñador SURFNARANJA ;;;;;;MUÑÓN SUSPENCION MONTERO NATIVA PAJERO TRITON GALOPER;2
995;36401-8500-L;Guiñador SURFNARANJA ;;;;;;Muñon SUSPENCION NISSAN CHANCHO;8
424;5183-R;Guiñador SUZUKI MARUTI 218-1503;;;;;;MUÑON suspencion superior  NATIVA IO TRITON  PAJEROMONTERO ;4
;218-1937-R;Guiñador SUZUKI NEW VITARA ALÓGENO  ;1;;;;;MUÑÓN SUSPENCION SUPERIRO HIACE LOBO ;6
;218-1942-L;Guiñador SUZUKI NEW VITARA ALÓGENO  ;1;;;;;MUÑÓN SUSPENCION TOYOTA TERCEL ;0
895;28-79-L;Guiñador TONACE;1;;;;;MUÑÓN SUSPENCION VANNETE BONGO INFERIOR MAZDA;3
;212-15G6-1-L;GUIÑADOR TOYOTA COROLLA SAPITO NEGRO ;2;;;;;Muñon SUSPENO DEL PROBOX;6
;212-15G6-1-R;GUIÑADOR TOYOTA COROLLA SAPITO NEGRO ;1;;;;;Muñon SUSPENSIÓN CALDINA 97;63
512;2644-R;Guiñador TOYOTA CUSTOM LARGO ;;;;;;Muñon SUSPENSIÓN COROLLA 90 L;34
;12-417-L;Guiñador TOYOTA FX;1;;;;;Muñon SUSPENSIÓN COROLLA 90 R;5
;44-3-R;Guiñador Toyota ipsum NARANJA;1;;;;;Muñon SUSPENSION HIACE CUADRADO ;12
1113;44-5-R;Guiñador Toyota ipsum NARANJA;1;;;;;Muñon SUSPENSIÓN HIALUX 92 SUPERIOR MARCA BIG;3
818;795-R;JALADOR CALDINA GT ORIGINAL ;;;;;;Muñon SUSPENSIÓN INFERIOR NOAH LITE ACE;18
1006;JAL-M-VAR;Jalador DE MANO VARIOS;;;;;;Muñon SUSPENSIÓN LAND CRUISER;0
;J-TOY-CALGT-F;JALADOR DE PUERTA TRASERA TOYOTA CALDINA GT;;;;;;Muñon SUSPENSIÓN MINIBUS URVAN 90 ABAJO;31
917;PPE-PA;Jalador SUBARU DE Puerta DELANTERA;;;;;;Muñon SUSPENSIÓN MINIUS NISSAN URVAN 90 ;21
162;AP-S;Jeep Cherokee vicel;;;;;;Muñon SUSPENSIÓN RAV 4 ;0
8;860027;Junta 20*35*23 AE100;;;;;;Muñon TOYOTA HILUX  STOUT INFERIOR;0
;860022;JUNTA 24X23 TOY PROBOX ;;;;;;Muñon TOYOTA HILUX  STOUT SUPERIOR;0
1161;860019;JUNTA H. TOY. AE100 92/AE92 26X24X56;10;;;;;MuñonES SUSPENSIÓN PROBOX ISQUIERDO;0
1159;860024;Junta IPSUM COROLLA Mod 87~95 24 X56X 26 C/ABS 133221;30;;;;;NUCLEO DE TRICETA TOY.AE80 23*24*23;8
1086;400402;Junta PATHFINDER PICK UP 6 Cyl. Mod 89~97 28 X50X 27;;;;;;PALIER COMPLETO TOYOTA IPSUM;3
;214-1938-1-L;"LANCER 87 GUI;ANDOR";1;;;;;PARACHOQUE ;0
187;010467-R;Lente Guiñador de parachoque COROLLA Mod 90~91 Aut/Vag;3;;;;;Parachoque CARINA VERIFICAR;0
192;011003-L;Lente Guiñador de parachoque COROLLA Mod 90~91 Aut/Vag;3;;;;;Parachoque COROLLA 98 SALOM;0
648;01405-R;Lente stop Suzuki SAMURAI;;;;;;Parachoque DEL GRAN VITARA 99 SZ04050BA;0
1070;016-8319-L;Lente stop Suzuki SAMURAI;2;;;;;Parachoque DEL HILUX 93 METALICO 212-1638;0
193;011003-R;Lente Stop Toyota HIACE Mod. 90~ Minibus;1;;;;;Parachoque DEL MITSUBISHI IO ;0
647;01405-L;Lente Stop Toyota HIACE Mod. 90~ Minibus;1;;;;;Parachoque DEL NISSAN CUSTOM NA20 ( BLANCO / PLOMO);0
;LIP-CAL-GT-L;LIP DE PARACHOQUE CALDINA GT ;;;;;;Parachoque DEL NISSAN SUNNY B14 ( VERDE / BLANCO );0
;LIP-CAL-GT-R;LIP DE PARACHOQUE CALDINA GT ;;;;;;Parachoque DEL PAJERO JUNIOR ;0
;LL-AUX;LLANTA DE AUXILIO;1;;;;;Parachoque DEL STARLET PLOMO CON Alogeno;0
868;SCOOTER-LL;Llanta SCOOTER  VERDE ;;;;;;Parachoque DEL SURF HILUX METALICO 96 TY40165;0
999;LP-VAR;Luz DE PLACA VARIOS NEGRO;;;;;;Parachoque DEL SUZUKI VITARA ESCUDO ( 3 PuertaS ) TYG;0
348;1439-R;Luz DE RETRO HILUX SURF 92;;;;;;Parachoque DEL SUZUKI VITARA ESCUDO FIBRA;0
588;MA-CALDINAGT;Maletera CALDINA GT ;;;;;;Parachoque DEL TOYOTA CALDINA GT / CON Alogeno;0
1008;MA-CARIB98;Maletera CARIB 98;;;;;;Parachoque DEL TOYOTA LEVIN 96;0
1004;MA-EVO6;Maletera COMPLETA EVOLUCION 6;;;;;;Parachoque DELANTERO CORSA;1
;MA-LANCER-EVO4;Maletera Lancer evo 4 BLANCO;1;;;;;PARACHOQUE LANCER;0
553;MA-CHARIOT;Maletera MITSUBISHI CHARIOT GRANDIS;;;;;;PARACHOQUE RAV 4 97;1
558;MA-CHAN;Maletera NISSAN CARAVAN CHANCHO;;;;;;PARACHOQUE SPACIO ;1
585;MA-FORESTER2000;Maletera SUBARU FORESTER 2000;;;;;;Parachoque Subaru Domingo ;1
586;MA-IMPREZA;Maletera SUBARU WAGON IMPREZA;;;;;;Parachoque SUBARU FORESTER DELANTERO FIBRA TYPE;1
587;MA-VITARA ;Maletera Suzuki vitara A MUELLE;;;;;;Parachoque SUBARU FORESTER TRASERO FIBRA TYPE ;1
587;MA-CALDINA  ;Maletera TOYOTA CALDINA A MUELLE;;;;;;Parachoque TRAS CON SPOILER TOYOTA CALDINA GT ;0
579;MA-IPSUM;Maletera TOYOTA IPSUM 96 ;;;;;;Parachoque TRAS EP82 GT ;0
503;10-83-R;MASACARA TOYOTA RAV 4 TRD;;;;;;Parachoque TRAS FORESTER 97 ;0
576;62310-VE000;Mascara A VENIR AD 96 VERIFICAR;;;;;;Parachoque TRAS MAZDA BONGO ;0
1051;53130-95J05-R;Mascara ATRAIL Blanco ;;;;;;Parachoque TRAS MITSUBISHI JUNIOR;0
884;62411-L;Mascara CARAVAN K20  CROMADO;;;;;;Parachoque TRAS NISSAN CARAVAN K20  CHANCHO;0
1053;53111-88110;Mascara CARIB ;1;;;;;Parachoque TRAS TOYOTA COROLLA 90 SEDAN ;0
1058;M-CARINA-C;Mascara CARINA 85 CROMADO;1;;;;;Parachoque TRASERO EVO 6 FIBRA;0
1059;M-CARINA-B;Mascara CARINA 85 NEGRO;;;;;;Parachoque TRASERO FORESTER 2000;0
573;53111-13120;Mascara CARINA 89;;;;;;PARACHOQUE TRASERO MITSUBISHI EVO 9;0
580;53114-12060;Mascara CUSTOM CROMADO GUIADOR LARGO;;;;;;Parachoque TRASERO SURF 96 3 PIEZAS;0
1083;62310-70N00;Mascara CUSTOM NISSAN  CROMADO 215-1575;;;;;;PARACHOQUE TRASERO SUZUKI GRAN VITARA ;0
;62310-N00;Mascara CUSTUM CROMADO CON NEGRO 215-1575;;;;;;Pastilla DE FRENO NAKHATAM SUABRU STI;0
552;M-DATSUN;Mascara DATSUN DOBLE Farol REDONDO;;;;;;Pastilla DE SUBARU FRENO ;0
564;DS07117GA;Mascara DS07050GA SUNNY B11;;;;;;Perno barra estabilizador Turinng Mod. 97~98~99~  Largo  TERRANO;0
136;553-1101-LDEM2-R;Mascara GRAN VIA 98;;;;;;PERNO ESTABILIZADOR MEDIANO TOY UNI 14 PC 164,5MMX8MM);20
571;53101-20200;Mascara HIACE CUSTOM 89 212-1221 TY07081GA;1;;;;;PISADERA DE SUBARU FORESTER VARIOS;0
1056;TY07081GA-O;Mascara HIACE Mod LETRAS ORIGIBNAL  89 07081GA TONG YANG;1;;;;;PORTA ALÓGENOS MITSUBISHI JUNIOR SOBRE EL PARACHOQUE;0
;M-JIM-U;MASCARA JIMMY ( USADO );1;;;;;Porta placa  CELICA 90-93;0
1108;F-PD-FORESTER;Mascara Junior;1;;;;;Porta placa CHARIOT GRANDIS;0
961;53131-13020-R;Mascara LEVIN AE 86;;;;;;Porta placa DE Maletera SURF;0
575;53111-95J02;Mascara MARINO TOYOTA;;;;;;PRECAP NISSAN CARAVAN ROTULA CHANCHO;8
555;MB645720;Mascara MITSUBISHI MONTERO NEGRO;;;;;;PRENSA EXEDY SUZUKI APV;0
1057;62310-VW100;MASCARA NISSAAN CUSTOM CROMADO;;;;;;Prensa Subaru DOMINGO;0
137;661-1165-L;Mascara NISSAN MARCH ;;;;;;Puerta MITSUBISHI LANCER EVOLUTION 6 ( Delantero Derecho );0
138;661-1165-R;Mascara NISSAN MARCH ;;;;;;Puerta MITSUBISHI LANCER EVOLUTION 6 ( Delantero Isquierdo );0
577;53111-95J25;Mascara STOUT TY07023;1;;;;;Puerta MITSUBISHI LANCER EVOLUTION 6 ( Trasero Derecho );0
727;7307-L;Mascara SUZUKI SAMURAI ;;;;;;Puerta MITSUBISHI LANCER EVOLUTION 6 ( Trasero Isquierdo );0
567;72111-51010;MASCARA SUZUKI SWIFT IGNIS;;;;;;Puerta SUBARU FORESTER ( Delantero Derecho );0
572;53101-20340;Mascara TOYOTA 212-1228 CE-96;;;;;;Puerta SUBARU FORESTER ( Trasero Derecho );0
583;53101-52060;Mascara TOYOTA CARIN A;;;;;;Puerta SUBARU FORESTER ( Trasero Isquierdo );0
668;1121-R;Mascara TOYOTA ESTARLET ;;;;;;Puerta SUZUKU GRAN VITARA 99 JUEGO DE ( Delantero Derecho );0
556;53111-97503;Mascara TOYOTA HIACE  CUSTOM 92;1;;;;;Puerta SUZUKU GRAN VITARA 99 JUEGO DE ( Delantero Isquierdo );0
578;TY-2001;Mascara TOYOTA HIACE 212-1196;;;;;;Puerta SUZUKU GRAN VITARA 99 JUEGO DE ( Trasero Derecho );0
;M-TOY-RAV-F;MASCARA TOYOTA RAV 4 FIBRA DE VIDRIO ;1;;;;;Puerta SUZUKU GRAN VITARA 99 JUEGO DE ( Trasero Isquierdo );0
561;63320-K74151-L;Mascara URVAN E25 215-11A5;;;;;;Puerta TOYOTA IPSUM ( Delantero Isquierdo );0
291;E-FX;Mascara URVAN TYG;;;;;;PUERTA TRASERA B13;1
1052;MASC-VAR;Mascara VARIOS;;;;;;Radiador MITSUBISHI JUNIOR;0
728;7307-R;Mascara VITARA VRS AMERICANA;;;;;;Radiador NISSAN URVAN 01-06 E25;0
581;53111-1A140;Mascara VITZ;;;;;;Radiador RAV-4 Mod. 96~97~98~99~2000 L4/2.0 AT;1
;M-NISS-CHIN;MASCRA NISSAN URVAN E24 CHINO;;;;;;Radiador TOYOTA GT CALDINA;0
1202;MB-CALDINA;Mataburro Caldina 98;;;;;;REFLECTOR FJ40;7
1203;MB-MONTERO;Mataburro MONTERO 90;;;;;;Rejilla de Capot subaru impreza de carbono;4
584;PP-T10;Mataburro PLASTICO SURF ;;;;;;RETROVISOR DE CAPO TOYOTA HILUX SURF ;1
;212-1656-R;Media luz;1;;;;;Retrovisor Nissan Silvina 513;0
;212-1664-L;Media luz;1;;;;;RETROVISOR NISSAN SKYLINE R32;0
1067;28-112-R;Media Luz 212-15D5 DE HIACE ;;;;;;RETROVISOR TOYOTA HILUX MILENIUM CROMADO ;0
;333-1110-R;Media luz BONGO NARANJA;1;;;;;RODAMIENTO Motor F12;0
125;333-1172-L;Media luz BONGO NARANJA;1;;;;;RODAMIENTO SUBARU;1
;212-1670-PX-L;Media luz c/Guiñador COROLLA Mod. 84~85~86;1;;;;;RODAMIENTO SUBARU EJ 20 SIN TURBO ;0
;212-1670-PX-R;Media luz c/Guiñador COROLLA Mod. 84~85~86;1;;;;;RÓTULA HIACE LOBO 14X17;84
;215-1599-L;Media luz c/guiñador Nissan SUNNY Mod. 90~91;1;;;;;ROTULA/MUÑON  SUSPENSION INFERIOR NISSAN TERRANO 1996-1999 L/R;2
;215-1614-L;Media luz c/guiñador Nissan SUNNY Mod. 90~91;1;;;;;ROTULA/MUÑON  TOY STARLET CARAT GLANZA 95/98 R;1
;215-1593-L;Media luz c/guiñador Nissan URVAN Mod. 90~ Naranjado/Blanco;1;;;;;ROTULA/MUÑON SUSPENSION NISSAN NOTE 2002-2006 L/R;24
;215-1593-R;Media luz c/guiñador Nissan URVAN Mod. 90~ Naranjado/Blanco;1;;;;;RVR CON PLANXHA;1
;215-1593PXA;Media luz c/guiñador Nissan URVAN Mod. 90~Solo Blanco;1;;;;;SCOOTER;0
;315-1515-1-L;Media luz c/guiñador SENTRA Mod. 87 Naranja;1;;;;;SCOOTER CASCO;0
;315-1515-1-R;Media luz c/guiñador SENTRA Mod. 87 Naranja;1;;;;;SET;1
421;3200-R;Media luz c/guiñador Subaru FORESTER    Mod. 98~2005   U.S.A.;2;;;;;STOP ;1
;312-1646-R;Media luz CELICA Mod. 90~95 TUNNIG   BLACK-WHITE;2;;;;;Stop  TF D-MAX Mod.2002~2003~2004~2005~2006~2007;2
;312-19B8-L;Media luz CELICA Mod. 90~95 TUNNIG   BLACK-WHITE;2;;;;;Stop 4RUNNER Mod.88~91 ;2
;212-1636-R;MEDIA LUZ COROLLA 92 CRISTALIZADO ;;;;;;Stop AD 2006 215-194305;1
;212-1647-L;MEDIA LUZ COROLLA 92 CRISTALIZADO ;1;;;;;Stop ATLAS 215-1915;0
;212-1574-C-L;Media luz COROLLA Mod. 88~89~90~91;1;;;;;Stop ATRAIL ;0
;212-1580-K-L;Media luz COROLLA Mod. 88~89~90~91;3;;;;;Stop B11 CORTO;1
;212-15Y002-L;Media luz COROLLA Mod. 95 ~ 96 AE110. SAPITO;1;;;;;Stop B14 NISSAN ;1
;212-15Y002-R;Media luz COROLLA Mod. 95 ~ 96 AE110. SAPITO;1;;;;;Stop BLUBIRT 96 ;2
;212-1561-L;Media luz COROLLA Mod.85~86~87 BLANCO;1;;;;;Stop BONGO ;2
;212-1561-R;Media luz COROLLA Mod.85~86~87 BLANCO;1;;;;;Stop BOXY NOAH;2
;212-1573-1-L;Media luz COROLLA Mod.85~86~87 BY;1;;;;;Stop CALDINA 93;1
;212-1574-1-PXA-L;Media luz COROLLA Mod.85~86~87 BY;1;;;;;Stop CALDINA A MUELLE ;0
;212-1592-R;Media luz COROLLA Mod.92~93~94~95;;;;;;Stop CALDINA GT;1
;212-15C3-6-L;Media luz COROLLA Mod.92~93~94~95;2;;;;;Stop CALDINA TURING;0
;212-15C3-6-R;Media luz COROLLA Mod.92~93~94~95   Auto   Vagoneta    ;1;;;;;Stop CARIB 80 ;0
;212-15C9-L;Media luz COROLLA Mod.92~93~94~95   Auto   Vagoneta    ;2;;;;;Stop CARIB 90 ;0
1076;212-1616-R;Media luz COROLLA Mod.92~99;;;;;;Stop CARIB BZ CROMADO ;0
;212-1636-L;Media luz COROLLA Mod.92~99;;;;;;Stop CARINA;2
;212-15D8-L;Media luz CORONA CALDINA Mod.92~93~94~95~96~97 ;1;;;;;Stop CARINA92;2
;212-15D8-R;Media luz CORONA CALDINA Mod.92~93~94~95~96~97 ;1;;;;;Stop CELICA 90;0
44;212-1549-R;Media luz CRESSIDA  Mod. 83 ~ 84  RX62;1;;;;;Stop CELICA 99;0
;212-1553-L;Media luz CRESSIDA  Mod. 83 ~ 84  RX62;1;;;;;Stop CHANCHO CARAVAN ;2
45;212-1561-K-L;Media luz CRESSIDA  Mod. 85 ~ 86  RX70;2;;;;;Stop chevroletCOLORADO PICK UP GMC CANYON 2004~05~09~10~2011;1
46;212-1561-K-R;Media luz CRESSIDA  Mod. 85 ~ 86  RX70;2;;;;;Stop COHASTER 84/90;4
;320-1505-CH-L;Media luz DESCONOCIDO;;;;;;Stop COLT MITSUBISHI;0
;331-1524-L;Media luz FORD F150 Mod.2001~2002~2003;2;;;;;Stop COROLLA 2 ;1
;214-1556-L;Media luz GALANT Mod.89~90~91~92~93 E33A;1;;;;;Stop COROLLA 78;0
;214-1556-R;Media luz GALANT Mod.89~90~91~92~93 E33A;2;;;;;Stop COROLLA 83 212-1915;1
;214-1921-C-R;Media luz GALANT Mod.89~90~91~92~93 E33A;;;;;;Stop COROLLA 89;0
;214-1921-R;Media luz GALANT Mod.89~90~91~92~93 E33A;;;;;;Stop corolla 90;3
;2650-L;Media luz HIACE CUSTOM 96-2000;;;;;;Stop corolla 90 ;3
;2650-R;Media luz HIACE CUSTOM 96-2000;;;;;;Stop COROLLA 90 212-1954;0
;212-1580-L;Media luz HIACE Mod. 90~2000;;;;;;STOP COROLLA 92;1
50;212-15D8-K-R;Media luz HILUX Mod.92~93~94~95~96~97   CROME;1;;;;;Stop COROLLA 92 212-1967;1
49;212-15D8-K-L;Media luz HILUX Mod.92~93~94~95~96~97   CROME USA;;;;;;Stop COROLLA AE80 Mod. 84~85~86~87 AMARILLO ABAJO;1
;212-1603-5X-L;Media luz HILUX Mod.98~2000/Plomo;1;;;;;Stop COROLLA KE70;0
;212-1603-5X-R;Media luz HILUX Mod.98~2000/Plomo;1;;;;;Stop COROLLA KE75 212-1913;0
;212-15C9-R;Media luz HILUX RUNNER SURF Mod.92~93~94~95   CROMADO;1;;;;;Stop COROLLA Mod. 92-94 Auto;1
938;22002;Media Luz HONDA ACCORD Mod. 94~95~96~97~                           Par ;1;;;;;Stop COROLLA Mod. 92~94~95~96~97  Auto    AE - 110;3
;218-1107-L;Media luz HONDA ACCORD Mod.90~91;1;;;;;Stop COROLLA Mod. 98~2000                ;1
;218-1133-L;Media luz HONDA ACCORD Mod.90~91;1;;;;;Stop COROLLA Mod.98~99~2000  Auto    AE - 110;1
380;10-58-L;Media luz HONDA CIVIC 217-1520;;;;;;Stop COROLLA2;0
381;10-58-R;Media luz HONDA CIVIC 217-1520;;;;;;Stop CORONA 1 COLOR ;0
118;317-1522-R;Media Luz HONDA CIVIC Mod. 88~89~90~91~ ;1;;;;;Stop CORONA 90 ;0
119;317-1603-L;Media Luz HONDA CIVIC Mod. 88~89~90~91~ ;1;;;;;Stop CORONA 90 2 COLORES;2
;218-1133-R;Media luz HONDA CIVIC Mod.90 3D;;;;;;Stop CORONA 90 3 COLORES;0
84;218-1135-R;Media luz HONDA CIVIC Mod.90 3D;;;;;;Stop CORONA 99;0
120;317-1603-R;Media luz HONDA PRELUDE Mod. 92 ~ 96;;;;;;Stop CORONA 99 rojo y blanco ;0
946;317-1612-PTB-VS;Media luz HONDA PRELUDE Mod. 92 ~ 96;;;;;;Stop CORSA;0
;221-1979-L;Media luz HYUNDAI VAN H100.Minibus 96~97~98~99~2000~2001~2002~2003;1;;;;;STOP CRISTALIZADO NISSAN PATROL ;2
;222110-L;Media luz HYUNDAI VAN H100.Minibus 96~97~98~99~2000~2001~2002~2003;1;;;;;Stop DAIHATSU 95;0
;214-1938-PTB-L;Media luz LANCER Mod. 93~94~95~96 NARANJA Tunnig;1;;;;;Stop Daihatsu GRAND MAX TOWN ACE LITE ACE 08~09~10~11~12~13~14;2
;214-1938-PTB-R;Media luz LANCER Mod. 93~94~95~96 NARANJA Tunnig;1;;;;;Stop DAIHATSU ROCKY CRISTAL Tunnig;3
;214-1938-2-L;Media luz LANCER Mod. 93~94~95~96 NEGRO;;;;;;Stop DATSUN B310 1979;2
;214-1938-2-R;Media luz LANCER Mod. 93~94~95~96 NEGRO;;;;;;Stop DE LEGACY;0
;212-1654-R;Media luz LAND CRUISER  Mod.2003~2006 CROMADO;1;;;;;STOP DE MALETERA MITSUBISHI MONTERO (terecera luz );0
;212-1656-L;Media luz LAND CRUISER  Mod.2003~2006 CROMADO;1;;;;;Stop DELICA 93 L300 4X4 4G63  Mod 87~93;1
;212-1664-R;Media luz LAND CRUISER FJ45 Mod.74~75~76~78~79~80;1;;;;;Stop DODGE NITRO Mod. 2007~2008~2009~2010~2011;3
;212-1670-L;Media luz LAND CRUISER FJ45 Mod.74~75~76~78~79~80;1;;;;;Stop DODGE RAM  PICK UP Mod.2007~2008~;3
;212-1553-R;Media luz LAND CRUISER FJ75 Mod. 85~2002    Cromado;1;;;;;Stop DODGE RAM 1500 2500 PICK UP Mod.2002~2003~2004~2005~2006;2
;212-1560-K-L;Media luz LAND CRUISER FJ75 Mod. 85~2002    Cromado;1;;;;;Stop FORD EXPLORER MERCURY SPORT Mod.95~96~97~98~99~2000~2001~;1
1125;P0371-L;Media luz MAZDA BONGO Mod.2000~2001~2002 VANETTE  E2000 216-1555 PO371;1;;;;;Stop Ford RANGER Mod. 2008~2009~2010~2011;1
1126;P0371-R;Media luz MAZDA BONGO Mod.2000~2001~2002 VANETTE  E2000 216-1555 PO371;1;;;;;Stop FORD Universal                                  NEW;1
490;20-197-R;Media luz MITSIBISHI VERIFICAR;;;;;;Stop FORESTER2000;0
266;5770-R;Media luz MITSIBISHI VERIFICAR;;;;;;Stop FRONTIER 97~98~99~00~01~02 Americano Seguro COSTADO -19D4-19F9  ;1
;214-19C5-R;Media luz MITSUBISHI pajero 96;4;;;;;Stop FX;0
1177;21410-VW300;Media luz MITSUBISHI pajero 96;2;;;;;Stop GRAND VIA 212-19B3;0
;214-19A5-L;Media luz montero 92;;;;;;Stop HIACE CUADRADO ;0
;215-1910-2-R;Media luz Nissan BLUE BIRD Mod. 90-93(Auto);1;;;;;STOP HIACE LOBO TUNNIG ;0
;215-1915-L;Media luz Nissan BLUE BIRD Mod. 90-93(Auto);1;;;;;Stop HIACE Mod 84/87 ;1
;215-1962-L;Media luz Nissan PATROL ~ SAFARI  Mod. 95~96~97;1;;;;;Stop HIACE Mod. 90~2000 Minibus   LOBO;2
;215-1962-R;Media luz Nissan PATROL ~ SAFARI  Mod. 95~96~97;1;;;;;Stop HILUX Mod. 84~87 Borde negro;1
947;215-1552-L;Media luz Nissan patrol 95;1;;;;;Stop HILUX Mod. 88~91~92~93~94~95~96~97;1
